policy_id,field,class,display_class,count,field_total,proportion
42,action_type,communication,Communication,10517,17670,0.5951895868704018
42,action_type,direct intervention,Direct intervention,4344,17670,0.24584040747028862
42,action_type,observed effect,Observed effect,2809,17670,0.15897000565930958
42,interaction_mode,communication,Communication,8690,17670,0.4917940011318619
42,interaction_mode,material_action,Material action,5207,17670,0.2946802490096208
42,interaction_mode,market_or_economic_state,Market/economic state,2125,17670,0.12026032823995472
42,interaction_mode,institutional_action,Institutional action,712,17670,0.04029428409734012
42,interaction_mode,other,Other mode,592,17670,0.03350311262026033
42,interaction_mode,intent_or_plan,Intent/plan,153,17670,0.00865874363327674
42,interaction_mode,legal_or_enforcement_action,Legal/enforcement,112,17670,0.0063384267119411435
42,interaction_mode,request_or_pressure,Request/pressure,79,17670,0.0044708545557442
42,financial_action_family,cameo_01_make_public_statement,Public statement,9629,17670,0.5449349179400114
42,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,1342,17670,0.07594793435200906
42,financial_action_family,other_financial_event,Other financial event,1006,17670,0.056932654216185624
42,financial_action_family,legislative_policy_authorization,Legislative authorization,685,17670,0.03876627051499717
42,financial_action_family,business_operations_adjustment,Business operations,1336,17670,0.07560837577815506
42,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,437,17670,0.024731182795698924
42,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,1065,17670,0.06027164685908319
42,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,298,17670,0.01686474250141483
42,financial_action_family,__other_families__,Other families,1872,17670,0.10594227504244483
43,action_type,communication,Communication,4015,6292,0.6381118881118881
43,action_type,direct intervention,Direct intervention,1955,6292,0.3107120152574698
